Time,Pct,CumPct
4:15,0.1,0.1
4:45,0.2,0.3
5:15,0.2,0.5
5:45,0.8,1.3
6:15,1.6,2.9
6:45,2.3,5.2
7:15,3.3,8.5
7:45,4.4,12.9
8:15,3.8,16.7
8:45,3.3,20
9:15,3,23
9:45,2.8,25.8
10:15,2.6,28.4
10:45,2.5,30.9
11:15,2.3,33.2
11:45,2.1,35.3
12:15,2.2,37.5
12:45,2.3,39.8
13:15,2.5,42.3
13:45,2.6,44.9
14:15,2.6,47.5
14:45,2.7,50.2
15:15,3.5,53.7
15:45,4.3,58
16:15,4.5,62.5
16:45,4.7,67.2
17:15,4.5,71.7
17:45,4.3,76
18:15,3.6,79.6
18:45,2.9,82.5
19:15,2.5,85
19:45,2.1,87.1
20:15,2.3,89.4
20:45,2.3,91.7
21:15,2.2,93.9
21:45,2,95.9
22:15,1.5,97.4
22:45,1,98.4
23:15,0.8,99.2
23:45,0.5,99.7
0:15,0.3,100
0:45,0,100
1:15,0,100
1:45,0,100
2:15,0,100
2:45,0,100
3:15,0,100
3:45,0,100
4:15,0,100
